L1,ID1,L2,ID2
fireCompany,14X52X152,municipalCourt,4X6
fireCompany,15X33X153,municipalCourt,3X5
fireCompany,15X33X153,municipalCourt,3X6
fireCompany,15X33X153,municipalCourt,3X8
fireCompany,14X49X154,municipalCourt,4X2
fireCompany,14X49X154,municipalCourt,4X6
fireCompany,13X54X155,municipalCourt,4X3
fireCompany,13X54X155,municipalCourt,4X4
fireCompany,15X33X156,municipalCourt,3X5
fireCompany,15X33X156,municipalCourt,3X6
fireCompany,15X33X156,municipalCourt,3X8
fireCompany,15X41X157,municipalCourt,3X4
fireCompany,15X41X157,municipalCourt,3X6
fireCompany,15X41X157,municipalCourt,3X8
fireCompany,13X54X158,municipalCourt,4X4
fireCompany,15X33X159,municipalCourt,3X6
fireCompany,15X33X159,municipalCourt,3X8
fireCompany,3X10X16,municipalCourt,1X6
fireCompany,14X53X160,municipalCourt,4X4
fireCompany,14X53X160,municipalCourt,4X6
fireCompany,8X43X161,municipalCourt,3X5
fireCompany,8X43X161,municipalCourt,3X8
fireCompany,14X53X162,municipalCourt,4X4
fireCompany,14X49X163,municipalCourt,4X1
fireCompany,14X49X163,municipalCourt,4X2
fireCompany,14X53X164,municipalCourt,4X6
fireCompany,13X54X165,municipalCourt,4X4
fireCompany,8X43X166,municipalCourt,3X5
fireCompany,8X43X166,municipalCourt,3X8
fireCompany,14X53X167,municipalCourt,4X6
fireCompany,8X42X168,municipalCourt,3X5
fireCompany,8X43X169,municipalCourt,3X8
fireCompany,6X14X17,municipalCourt,2X2
fireCompany,15X58X170,municipalCourt,3X4
fireCompany,8X42X172,municipalCourt,3X5
fireCompany,13X51X173,municipalCourt,3X7
fireCompany,13X51X173,municipalCourt,4X3
fireCompany,15X58X174,municipalCourt,3X4
fireCompany,15X44X175,municipalCourt,3X4
fireCompany,15X44X175,municipalCourt,3X7
fireCompany,15X44X175,municipalCourt,4X3
fireCompany,15X44X176,municipalCourt,3X4
fireCompany,1X4X18,municipalCourt,1X2
fireCompany,6X26X19,municipalCourt,2X1
fireCompany,6X26X19,municipalCourt,2X2
fireCompany,3X8X2,municipalCourt,1X4
fireCompany,3X8X2,municipalCourt,1X9
fireCompany,1X2X20,municipalCourt,1X1
fireCompany,1X2X20,municipalCourt,1X2
fireCompany,1X7X21,municipalCourt,1X3
fireCompany,3X11X22,municipalCourt,1X5
fireCompany,6X16X23,municipalCourt,1X7
fireCompany,1X7X24,municipalCourt,1X3
fireCompany,1X7X24,municipalCourt,1X9
fireCompany,3X11X25,municipalCourt,1X5
fireCompany,3X12X26,municipalCourt,1X8
fireCompany,6X17X27,municipalCourt,2X2
fireCompany,6X16X28,municipalCourt,1X10
fireCompany,6X14X29,municipalCourt,2X2
fireCompany,1X6X3,municipalCourt,1X1
fireCompany,1X6X3,municipalCourt,1X2
fireCompany,1X6X3,municipalCourt,1X9
fireCompany,6X16X30,municipalCourt,1X8
fireCompany,6X16X30,municipalCourt,1X10
fireCompany,6X26X31,municipalCourt,2X1
fireCompany,7X27X32,municipalCourt,2X1
fireCompany,7X19X33,municipalCourt,2X2
fireCompany,7X13X34,municipalCourt,1X7
fireCompany,7X13X34,municipalCourt,1X10
fireCompany,3X9X35,municipalCourt,1X3
fireCompany,3X9X35,municipalCourt,1X5
fireCompany,7X13X36,municipalCourt,1X7
fireCompany,7X27X37,municipalCourt,2X1
fireCompany,7X27X37,municipalCourt,2X2
fireCompany,7X18X38,municipalCourt,2X1
fireCompany,7X18X38,municipalCourt,2X2
fireCompany,7X15X39,municipalCourt,2X1
fireCompany,7X15X39,municipalCourt,2X2
fireCompany,3X9X4,municipalCourt,1X3
fireCompany,3X9X4,municipalCourt,1X9
fireCompany,3X11X40,municipalCourt,1X7
fireCompany,3X11X40,municipalCourt,1X10
